Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Pittsburgh Steelers,16,8,14,,1,,3,,26,1,2,,24,24,23,27,,251,15.7
2,Philadelphia Eagles,16,13,16,,,,1,,30,1,3,,27,27,17,24,,260,16.3
3,New England Patriots,16,9,18,1,1,1,1,,31,3,8,,23,23,15,18,,260,16.3
4,New York Jets,16,8,21,,1,,,,30,1,1,,29,29,16,19,1,261,16.3
5,Washington Redskins,16,7,17,1,1,3,1,,30,2,2,,28,28,17,20,1,265,16.6
6,Baltimore Ravens,16,9,14,,2,2,,,27,1,3,,24,24,26,31,1,268,16.8
7,Jacksonville Jaguars,16,7,18,2,,3,1,,31,2,3,,27,28,21,28,,280,17.5
8,Buffalo Bills,16,6,20,,,2,1,,29,1,2,,27,27,27,32,,284,17.8
9,Denver Broncos,16,16,17,,1,,1,,35,,3,,31,32,21,26,,304,19.0
10,Tampa Bay Buccaneers,16,8,21,,1,1,4,,35,,0,,34,35,20,31,,304,19.0
11,San Diego Chargers,16,15,19,,2,,,,36,2,2,,33,34,20,27,,313,19.6
12,Arizona Cardinals,16,12,18,1,1,1,1,1,35,4,5,,29,30,25,26,,322,20.1
13,Chicago Bears,16,9,23,,,2,1,1,36,,1,,35,35,26,36,1,331,20.7
14,Atlanta Falcons,16,20,19,,1,1,,,41,1,2,,39,39,16,18,1,337,21.1
15,Carolina Panthers,16,19,18,,,,3,,40,,1,,39,39,20,28,,339,21.2
16,Houston Texans,16,4,32,,1,1,1,,39,,1,,37,37,22,29,1,339,21.2
17,New York Giants,16,13,28,,,,,,41,2,4,,37,37,20,25,,347,21.7
18,Detroit Lions,16,10,29,,,1,2,1,43,1,4,,37,38,17,20,1,350,21.9
19,Indianapolis Colts,16,12,26,1,,,,,39,3,3,,36,36,25,31,,351,21.9
20,Miami Dolphins,16,12,20,,1,1,8,,42,,0,,42,42,20,28,,354,22.1
21,Cincinnati Bengals,16,11,23,,,2,4,1,41,,1,,40,40,28,31,1,372,23.3
22,Seattle Seahawks,16,17,24,,,,1,,42,,2,,38,39,27,32,1,373,23.3
23,Green Bay Packers,16,12,33,,,1,1,,47,,0,,47,47,17,25,,380,23.8
24,Cleveland Browns,16,22,17,,1,3,2,,45,1,1,,44,44,24,28,1,390,24.4
25,St. Louis Rams,16,13,24,1,1,3,1,,43,1,4,,39,39,31,36,,392,24.5
26,Minnesota Vikings,16,15,30,,1,,,,46,1,3,,43,43,24,27,1,395,24.7
27,New Orleans Saints,16,16,24,1,,2,1,,44,2,2,,42,42,31,35,1,405,25.3
28,Dallas Cowboys,16,14,31,,,,4,,49,2,4,,44,45,21,23,,405,25.3
29,Kansas City Chiefs,16,18,32,2,,,1,,53,2,2,,50,51,21,27,,435,27.2
30,Tennessee Titans,16,18,29,1,,1,2,1,52,1,2,,50,50,23,28,3,439,27.4
31,Oakland Raiders,16,21,30,,,2,3,,56,1,2,,53,54,17,25,,442,27.6
32,San Francisco 49ers,16,22,27,,,1,4,,54,1,3,,51,51,25,29,,452,28.3
,Avg Team,,13.0,22.9,0.3,0.5,1.1,1.7,0.2,39.6,1.2,2.3,0.0,36.8,37.2,22.0,27.2,0.5,343.8,21.5
,League Total,,416,732,11,17,34,53,5,1268,37,73,0,1179,1189,703,870,15,11000,21.5
,Avg Tm/G,,0.81,1.43,0.02,0.03,0.07,0.10,0.01,2.48,0.07,0.14,0.00,2.30,2.32,1.37,1.70,0.03,21.5,