Tm,W,L,W-L%,Pts,PtsO,PtDif,MoV
New York Giants,11,5,.688,422,314,108,6.8
Washington Redskins,10,6,.625,359,293,66,4.1
Dallas Cowboys,9,7,.563,325,308,17,1.1
Philadelphia Eagles,6,10,.375,310,388,-78,-4.9
Chicago Bears,11,5,.688,260,202,58,3.6
Minnesota Vikings,9,7,.563,306,344,-38,-2.4
Detroit Lions,5,11,.313,254,345,-91,-5.7
Green Bay Packers,4,12,.250,298,344,-46,-2.9
Tampa Bay Buccaneers,11,5,.688,300,274,26,1.6
Carolina Panthers,11,5,.688,391,259,132,8.3
Atlanta Falcons,8,8,.500,351,341,10,0.6
New Orleans Saints,3,13,.188,235,398,-163,-10.2
Seattle Seahawks,13,3,.813,452,271,181,11.3
St. Louis Rams,6,10,.375,363,429,-66,-4.1
Arizona Cardinals,5,11,.313,311,387,-76,-4.8
San Francisco 49ers,4,12,.250,239,428,-189,-11.8