Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Minnesota Vikings,16,348,985,9,2.8,61.6,115.89
2,Baltimore Ravens,16,367,1214,5,3.3,75.9,151.00
3,Pittsburgh Steelers,16,408,1412,9,3.5,88.3,92.16
4,Jacksonville Jaguars,16,420,1460,14,3.5,91.3,36.55
5,New England Patriots,16,388,1507,11,3.9,94.2,81.94
6,Chicago Bears,16,402,1590,7,4.0,99.4,115.65
7,San Diego Chargers,16,386,1613,13,4.2,100.8,53.30
8,Miami Dolphins,16,461,1618,7,3.5,101.1,118.73
9,Atlanta Falcons,16,442,1657,14,3.7,103.6,96.86
10,Dallas Cowboys,16,429,1659,12,3.9,103.7,65.36
11,Carolina Panthers,16,449,1737,10,3.9,108.6,74.13
12,Denver Broncos,16,446,1813,13,4.1,113.3,78.00
13,Green Bay Packers,16,441,1825,12,4.1,114.1,47.22
14,New York Giants,16,458,1830,19,4.0,114.4,95.14
15,Cincinnati Bengals,16,448,1863,15,4.2,116.4,61.00
16,Arizona Cardinals,16,458,1897,16,4.1,118.6,121.38
17,Tampa Bay Buccaneers,16,497,1917,11,3.9,119.8,102.64
18,Kansas City Chiefs,16,461,1928,14,4.2,120.5,76.60
19,San Francisco 49ers,16,473,1936,18,4.1,121.0,62.68
20,Houston Texans,16,446,1956,16,4.4,122.3,67.07
21,Detroit Lions,16,492,2010,18,4.1,125.6,78.95
22,Seattle Seahawks,16,441,2029,12,4.6,126.8,68.60
23,New Orleans Saints,16,418,2063,10,4.9,128.9,48.02
24,New York Jets,16,453,2084,14,4.6,130.3,29.32
25,Oakland Raiders,16,542,2144,15,4.0,134.0,109.95
26,Philadelphia Eagles,16,489,2182,12,4.5,136.4,56.59
27,Washington Redskins,16,492,2197,9,4.5,137.3,86.24
28,Buffalo Bills,16,476,2254,14,4.7,140.9,51.26
29,Cleveland Browns,16,514,2273,14,4.4,142.1,71.03
30,Tennessee Titans,16,506,2313,20,4.6,144.6,16.91
31,St. Louis Rams,16,477,2327,21,4.9,145.4,80.43
32,Indianapolis Colts,16,519,2768,20,5.3,173.0,16.24
,Avg Team,,451.5,1876.9,13.3,4.2,117.3,75.8
,League Total,,14447,60061,424,4.2,117.3,
,Avg Tm/G,,28.2,117.3,0.8,4.2,117.3,