,,,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Los Angeles Chargers,16,28,257,1,9.2,61,1322,0,21.7
2,Seattle Seahawks,16,36,304,0,8.4,37,919,1,24.8
3,Arizona Cardinals,16,44,420,0,9.5,27,583,0,21.6
4,Buffalo Bills,16,34,297,0,8.7,34,754,0,22.2
5,Oakland Raiders,16,28,241,1,8.6,39,922,0,23.6
6,New England Patriots,16,25,255,0,10.2,42,1034,0,24.6
7,Detroit Lions,16,29,332,1,11.4,37,837,0,22.6
8,New York Jets,16,42,318,0,7.6,23,539,0,23.4
9,Houston Texans,16,32,240,0,7.5,33,682,0,20.7
10,Baltimore Ravens,16,31,315,0,10.2,32,745,0,23.3
11,Denver Broncos,16,35,368,1,10.5,28,581,0,20.8
12,Atlanta Falcons,16,27,184,0,6.8,36,818,0,22.7
13,Minnesota Vikings,16,31,188,0,6.1,31,722,0,23.3
14,Tampa Bay Buccaneers,16,27,231,0,8.6,34,714,0,21.0
15,Cincinnati Bengals,16,30,220,1,7.3,31,705,0,22.7
16,Cleveland Browns,16,37,397,0,10.7,24,574,0,23.9
17,Green Bay Packers,16,20,206,0,10.3,40,1022,1,25.6
18,Jacksonville Jaguars,16,37,184,0,5.0,21,374,0,17.8
19,Tennessee Titans,16,33,296,0,9.0,25,696,1,27.8
20,Dallas Cowboys,16,30,254,0,8.5,25,662,0,26.5
21,New York Giants,16,27,177,0,6.6,28,570,0,20.4
22,Philadelphia Eagles,16,31,194,0,6.3,24,540,0,22.5
23,Kansas City Chiefs,16,17,97,0,5.7,36,809,0,22.5
24,Pittsburgh Steelers,16,17,245,1,14.4,35,727,0,20.8
25,San Francisco 49ers,16,25,195,0,7.8,27,662,0,24.5
26,New Orleans Saints,16,12,60,0,5.0,39,885,0,22.7
27,Miami Dolphins,16,37,384,0,10.4,13,339,1,26.1
28,Indianapolis Colts,16,21,93,0,4.4,27,595,0,22.0
29,Washington Redskins,16,31,303,1,9.8,13,295,0,22.7
30,Chicago Bears,16,20,150,0,7.5,22,548,1,24.9
31,Los Angeles Rams,16,12,104,0,8.7,29,652,0,22.5
32,Carolina Panthers,16,22,181,0,8.2,17,406,0,23.9
,Avg Team,,28.4,240.3,0.2,8.5,30.3,694.8,0.2,22.9
,League Total,,908,7690,7,8.5,970,22233,5,22.9
,Avg Tm/G,,1.8,15.0,0.0,8.5,1.9,43.4,0.0,22.9